PMID,ArticleTitle,AbstractText,Authors,DOI,Journal,PubDate_Year,PubDate_Month
30000099,Integrated Pest Management Benefits for Pollinator Health,"Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting native bumblebee pollination networks. Mean bloom date advanced by 4 days per decade.","Taylor S, Anderson T, Lee W, Moore H",10.12207/pollinator.2016.5671,Nature Ecology & Evolution,2014,7
30000100,Integrated Pest Management Benefits for Pollinator Health,Residues of organophosphate found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 22% of tested fields.,"Brown M, Jones K, Johnson A",10.11584/pollinator.2011.3240,Nature Ecology & Evolution,2022,5
30000101,Long-Term Trends in Pollinator Abundance and Pesticide Use,Urban gardens in Midwest US provide crucial refuge for native bumblebee amidst surrounding agricultural monocultures. Species richness was 22x higher in garden plots.,"Moore H, Lee W",10.15503/pollinator.2013.1323,Journal of Applied Ecology,2012,8
30000102,Genetic Diversity of Pollinators in Fragmented Habitats,"Climate change shifts the phenology of flowering plants in Midwest US, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 5 days per decade.","Garcia L, Jones K, Wilson P, Williams R",10.16068/pollinator.2023.7707,Science of the Total Environment,2012,6
30000103,Long-Term Trends in Pollinator Abundance and Pesticide Use,This study evaluates the impact of glyphosate exposure on Osmia lignaria colonies across Southern US. Results indicate a 5% decline in colony health metrics over the study period.,"Jones K, Williams R, Smith J, Taylor S",10.11473/pollinator.2019.8290,PNAS,2017,7
30000104,Integrated Pest Management Benefits for Pollinator Health,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 4 days per decade.","Anderson T, Williams R",10.18684/pollinator.2014.9964,PNAS,2024,10
30000105,Genetic Diversity of Pollinators in Fragmented Habitats,Residues of organophosphate found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 13% of tested fields.,"Anderson T, Brown M, Johnson A, Lee W, Moore H",10.16481/pollinator.2014.8602,PNAS,2023,10
30000106,Urban Pollinator Conservation: A Garden Ecology Study,Urban gardens in Central Valley CA provide crucial refuge for Apis mellifera amidst surrounding agricultural monocultures. Species richness was 220x higher in garden plots.,"Williams R, Thomas D",10.14325/pollinator.2022.3361,Journal of Applied Ecology,2018,1
30000107,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,This study evaluates the impact of clothianidin exposure on native bumblebee colonies across Midwest US. Results indicate a 32% decline in colony health metrics over the study period.,"Anderson T, Williams R",10.15025/pollinator.2015.8629,Nature Ecology & Evolution,2015,7
30000108,Integrated Pest Management Benefits for Pollinator Health,Long-term monitoring of native bumblebee populations in Midwest US reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention.,"Jackson B, Anderson T, Taylor S, Garcia L, Thomas D",10.19040/pollinator.2020.8271,Environmental Science & Technology,2012,5
30000109,Pesticide Impact on Honeybee Colony Health,Long-term monitoring of Megachile rotundata populations in Great Plains reveals significant population declines linked to imidacloprid application rates. We recommend immediate policy intervention.,"Martin F, Jones K, Jackson B",10.16935/pollinator.2018.7557,PNAS,2014,4
30000110,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,A meta-analysis of 427 studies spanning 7 years demonstrates that clothianidin negatively affects Bombus terrestris foraging behavior and navigation abilities.,"Wilson P, Brown M, Moore H, Jones K, Martinez C",10.13901/pollinator.2011.5567,Ecology Letters,2011,7
30000111,Urban Pollinator Conservation: A Garden Ecology Study,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 11 days per decade.","Wilson P, Garcia L, Anderson T, Smith J",10.15936/pollinator.2018.1442,PNAS,2011,5
30000112,Integrated Pest Management Benefits for Pollinator Health,Long-term monitoring of native bumblebee populations in Midwest US reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention.,"Thomas D, Taylor S",10.17799/pollinator.2020.5106,Science of the Total Environment,2014,4
30000113,Integrated Pest Management Benefits for Pollinator Health,This study evaluates the impact of organophosphate exposure on Apis mellifera colonies across Midwest US. Results indicate a 24% decline in colony health metrics over the study period.,"Jackson B, Brown M",10.12968/pollinator.2024.5616,PNAS,2011,4
30000114,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Residues of neonicotinoid found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 15% of tested fields.,"Williams R, Wilson P, Anderson T",10.12595/pollinator.2018.6679,Nature Ecology & Evolution,2012,10
30000115,Integrated Pest Management Benefits for Pollinator Health,Residues of glyphosate found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 44% of tested fields.,"Wilson P, Johnson A",10.17846/pollinator.2023.2056,Science of the Total Environment,2010,1
30000116,Integrated Pest Management Benefits for Pollinator Health,Long-term monitoring of Osmia lignaria populations in Eastern Seaboard reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention.,"Smith J, Garcia L, Lee W, Moore H",10.15464/pollinator.2012.4776,Science of the Total Environment,2022,12
30000117,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Field trials in Southern US show that integrated pest management reduces Bombus impatiens mortality by 6% compared to conventional imidacloprid application schedules.,"Williams R, Brown M, Johnson A",10.18203/pollinator.2019.5883,PNAS,2021,10
30000118,Genetic Diversity of Pollinators in Fragmented Habitats,Field trials in Southern US show that integrated pest management reduces Bombus terrestris mortality by 25% compared to conventional clothianidin application schedules.,"Brown M, Smith J, Lee W, Williams R, Jackson B",10.11023/pollinator.2022.3421,Journal of Applied Ecology,2017,5
30000119,Urban Pollinator Conservation: A Garden Ecology Study,Field trials in Pacific Northwest show that integrated pest management reduces native bumblebee mortality by 52% compared to conventional thiamethoxam application schedules.,"Moore H, Johnson A",10.17271/pollinator.2011.9068,Ecology Letters,2021,12
30000120,Integrated Pest Management Benefits for Pollinator Health,Habitat fragmentation in Pacific Northwest leads to reduced genetic diversity in native native bumblebee populations. We analyzed 316 sampling sites over 15 years.,"Williams R, Anderson T",10.19296/pollinator.2012.6802,Nature Ecology & Evolution,2018,11
30000121,Sublethal Neonicotinoid Effects on Solitary Bees,Urban gardens in Pacific Northwest provide crucial refuge for Osmia lignaria amidst surrounding agricultural monocultures. Species richness was 117x higher in garden plots.,"Wilson P, Johnson A",10.18819/pollinator.2020.7012,Science of the Total Environment,2019,1
30000122,Urban Pollinator Conservation: A Garden Ecology Study,"Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting Bombus impatiens pollination networks. Mean bloom date advanced by 9 days per decade.","Moore H, Williams R, Wilson P, Brown M, Martinez C",10.17951/pollinator.2023.7800,PNAS,2013,3
30000123,Sublethal Neonicotinoid Effects on Solitary Bees,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 10 days per decade.","Williams R, Martin F, Anderson T, Lee W",10.16868/pollinator.2012.4705,"Agriculture, Ecosystems & Environment",2023,10
30000124,Pesticide Impact on Honeybee Colony Health,Habitat fragmentation in Central Valley CA leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 195 sampling sites over 7 years.,"Johnson A, Garcia L, Thomas D",10.14239/pollinator.2019.1266,Journal of Applied Ecology,2013,11
30000125,Urban Pollinator Conservation: A Garden Ecology Study,Habitat fragmentation in Midwest US leads to reduced genetic diversity in native Bombus terrestris populations. We analyzed 144 sampling sites over 16 years.,"Williams R, Thomas D, Martin F, Moore H",10.17073/pollinator.2011.9767,"Agriculture, Ecosystems & Environment",2024,9
30000126,Sublethal Neonicotinoid Effects on Solitary Bees,Field trials in Eastern Seaboard show that integrated pest management reduces Bombus impatiens mortality by 47% compared to conventional glyphosate application schedules.,"Jones K, Martin F",10.19901/pollinator.2013.8751,Science of the Total Environment,2022,5
30000127,Sublethal Neonicotinoid Effects on Solitary Bees,Habitat fragmentation in Midwest US leads to reduced genetic diversity in native Bombus terrestris populations. We analyzed 196 sampling sites over 5 years.,"Brown M, Garcia L, Wilson P, Smith J",10.19063/pollinator.2020.7382,Environmental Science & Technology,2019,8
30000128,Long-Term Trends in Pollinator Abundance and Pesticide Use,Long-term monitoring of native bumblebee populations in Central Valley CA reveals significant population declines linked to imidacloprid application rates. We recommend immediate policy intervention.,"Martinez C, Anderson T",10.17427/pollinator.2019.7387,PNAS,2019,11
30000129,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Residues of organophosphate found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 25% of tested fields.,"Johnson A, Jones K, Garcia L, Wilson P, Martin F",10.14217/pollinator.2021.6613,"Agriculture, Ecosystems & Environment",2010,7
30000130,Genetic Diversity of Pollinators in Fragmented Habitats,A meta-analysis of 318 studies spanning 7 years demonstrates that imidacloprid negatively affects Osmia lignaria foraging behavior and navigation abilities.,"Wilson P, Smith J, Brown M, Johnson A, Williams R",10.14234/pollinator.2023.9568,Science of the Total Environment,2023,12
30000131,Sublethal Neonicotinoid Effects on Solitary Bees,Urban gardens in Eastern Seaboard provide crucial refuge for Bombus impatiens amidst surrounding agricultural monocultures. Species richness was 269x higher in garden plots.,"Thomas D, Martin F, Moore H",10.14774/pollinator.2011.1879,PNAS,2022,5
30000132,Integrated Pest Management Benefits for Pollinator Health,Residues of thiamethoxam found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 64% of tested fields.,"Jones K, Brown M, Lee W, Wilson P",10.12690/pollinator.2013.8395,Science of the Total Environment,2018,10
30000133,Pesticide Impact on Honeybee Colony Health,Residues of neonicotinoid found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 5% of tested fields.,"Martin F, Garcia L, Taylor S, Brown M, Jackson B",10.17676/pollinator.2016.5307,Journal of Applied Ecology,2020,5
30000134,Pesticide Impact on Honeybee Colony Health,Residues of clothianidin found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 62% of tested fields.,"Garcia L, Taylor S, Smith J, Johnson A, Anderson T",10.11016/pollinator.2018.9706,"Agriculture, Ecosystems & Environment",2010,2
30000135,Sublethal Neonicotinoid Effects on Solitary Bees,This study evaluates the impact of thiamethoxam exposure on Megachile rotundata colonies across Pacific Northwest. Results indicate a 46% decline in colony health metrics over the study period.,"Brown M, Taylor S, Moore H",10.11665/pollinator.2018.5369,Science of the Total Environment,2020,6
30000136,Integrated Pest Management Benefits for Pollinator Health,A meta-analysis of 78 studies spanning 4 years demonstrates that neonicotinoid negatively affects Bombus impatiens foraging behavior and navigation abilities.,"Martin F, Thomas D, Martinez C, Anderson T",10.18876/pollinator.2015.1486,Nature Ecology & Evolution,2011,5
30000137,Urban Pollinator Conservation: A Garden Ecology Study,Long-term monitoring of Bombus terrestris populations in Southern US reveals significant population declines linked to imidacloprid application rates. We recommend immediate policy intervention.,"Jackson B, Wilson P, Brown M",10.11147/pollinator.2021.4995,Journal of Applied Ecology,2010,3
30000138,Urban Pollinator Conservation: A Garden Ecology Study,Long-term monitoring of Megachile rotundata populations in Great Plains reveals significant population declines linked to imidacloprid application rates. We recommend immediate policy intervention.,"Martin F, Brown M, Smith J",10.15401/pollinator.2018.3336,Environmental Science & Technology,2015,9
30000139,Integrated Pest Management Benefits for Pollinator Health,Residues of organophosphate found in pollen samples correlate with increased mortality in Bombus terrestris. Lethal dose thresholds were exceeded in 49% of tested fields.,"Martinez C, Lee W, Anderson T",10.15247/pollinator.2017.2795,Ecology Letters,2017,6
30000140,Urban Pollinator Conservation: A Garden Ecology Study,Urban gardens in Great Plains provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 406x higher in garden plots.,"Jackson B, Brown M",10.19556/pollinator.2024.6842,PNAS,2022,12
30000141,Long-Term Trends in Pollinator Abundance and Pesticide Use,This study evaluates the impact of glyphosate exposure on Apis mellifera colonies across Central Valley CA. Results indicate a 11% decline in colony health metrics over the study period.,"Williams R, Jones K, Thomas D",10.11982/pollinator.2015.5068,Science of the Total Environment,2015,7
30000142,Long-Term Trends in Pollinator Abundance and Pesticide Use,Field trials in Southern US show that integrated pest management reduces Bombus impatiens mortality by 56% compared to conventional neonicotinoid application schedules.,"Jones K, Thomas D, Anderson T, Johnson A",10.19078/pollinator.2010.3702,Science of the Total Environment,2024,7
30000143,Integrated Pest Management Benefits for Pollinator Health,Habitat fragmentation in Great Plains leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 493 sampling sites over 10 years.,"Lee W, Thomas D, Jackson B, Martin F, Williams R",10.15890/pollinator.2017.3270,Science of the Total Environment,2015,8
30000144,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,"Climate change shifts the phenology of flowering plants in Central Valley CA, disrupting Bombus impatiens pollination networks. Mean bloom date advanced by 4 days per decade.","Wilson P, Moore H, Smith J, Jackson B",10.17271/pollinator.2016.5777,"Agriculture, Ecosystems & Environment",2021,5
30000145,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,A meta-analysis of 41 studies spanning 17 years demonstrates that imidacloprid negatively affects Osmia lignaria foraging behavior and navigation abilities.,"Martinez C, Williams R, Anderson T",10.11367/pollinator.2016.3860,Environmental Science & Technology,2016,4
30000146,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 10 days per decade.","Jones K, Moore H",10.11953/pollinator.2016.1118,PNAS,2022,3
30000147,Long-Term Trends in Pollinator Abundance and Pesticide Use,Field trials in Central Valley CA show that integrated pest management reduces Bombus terrestris mortality by 63% compared to conventional thiamethoxam application schedules.,"Brown M, Wilson P, Garcia L, Lee W",10.15066/pollinator.2014.1156,Journal of Applied Ecology,2021,10
30000148,Integrated Pest Management Benefits for Pollinator Health,Urban gardens in Pacific Northwest provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 356x higher in garden plots.,"Thomas D, Taylor S, Jones K, Smith J, Lee W",10.16723/pollinator.2010.1280,Journal of Applied Ecology,2021,11
30000149,Sublethal Neonicotinoid Effects on Solitary Bees,A meta-analysis of 404 studies spanning 11 years demonstrates that imidacloprid negatively affects Bombus terrestris foraging behavior and navigation abilities.,"Martinez C, Garcia L",10.15495/pollinator.2012.7685,"Agriculture, Ecosystems & Environment",2018,6
30000150,Pesticide Impact on Honeybee Colony Health,Long-term monitoring of Megachile rotundata populations in Pacific Northwest reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention.,"Thomas D, Jackson B, Williams R, Smith J, Johnson A",10.14455/pollinator.2022.7308,Journal of Applied Ecology,2014,3
30000151,Long-Term Trends in Pollinator Abundance and Pesticide Use,This study evaluates the impact of clothianidin exposure on Apis mellifera colonies across Central Valley CA. Results indicate a 11% decline in colony health metrics over the study period.,"Anderson T, Williams R, Smith J, Moore H, Martinez C",10.13190/pollinator.2018.6634,"Agriculture, Ecosystems & Environment",2019,5
30000152,Pesticide Impact on Honeybee Colony Health,Residues of thiamethoxam found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 58% of tested fields.,"Garcia L, Smith J",10.13101/pollinator.2024.6552,Ecology Letters,2022,2
30000153,Sublethal Neonicotinoid Effects on Solitary Bees,This study evaluates the impact of thiamethoxam exposure on Bombus terrestris colonies across Midwest US. Results indicate a 44% decline in colony health metrics over the study period.,"Garcia L, Thomas D, Wilson P, Johnson A",10.19346/pollinator.2011.2967,Ecology Letters,2021,9
30000154,Genetic Diversity of Pollinators in Fragmented Habitats,"Climate change shifts the phenology of flowering plants in Midwest US, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 11 days per decade.","Jones K, Martinez C",10.13334/pollinator.2011.1867,Science of the Total Environment,2011,7
30000155,Pesticide Impact on Honeybee Colony Health,This study evaluates the impact of imidacloprid exposure on Bombus impatiens colonies across Eastern Seaboard. Results indicate a 21% decline in colony health metrics over the study period.,"Johnson A, Lee W, Jones K",10.18645/pollinator.2012.3221,Environmental Science & Technology,2011,7
30000156,Integrated Pest Management Benefits for Pollinator Health,This study evaluates the impact of imidacloprid exposure on Megachile rotundata colonies across Pacific Northwest. Results indicate a 46% decline in colony health metrics over the study period.,"Jones K, Martinez C, Williams R, Thomas D",10.16289/pollinator.2015.3747,Nature Ecology & Evolution,2012,2
30000157,Integrated Pest Management Benefits for Pollinator Health,This study evaluates the impact of thiamethoxam exposure on native bumblebee colonies across Pacific Northwest. Results indicate a 46% decline in colony health metrics over the study period.,"Smith J, Martin F, Williams R, Lee W, Jackson B",10.15000/pollinator.2020.1484,Science of the Total Environment,2012,7
30000158,Long-Term Trends in Pollinator Abundance and Pesticide Use,This study evaluates the impact of thiamethoxam exposure on Bombus impatiens colonies across Midwest US. Results indicate a 6% decline in colony health metrics over the study period.,"Garcia L, Wilson P, Thomas D, Smith J, Lee W",10.11451/pollinator.2024.3353,"Agriculture, Ecosystems & Environment",2017,4
30000159,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,A meta-analysis of 338 studies spanning 15 years demonstrates that clothianidin negatively affects Megachile rotundata foraging behavior and navigation abilities.,"Martinez C, Anderson T, Smith J",10.14762/pollinator.2024.6744,"Agriculture, Ecosystems & Environment",2015,6
30000160,Long-Term Trends in Pollinator Abundance and Pesticide Use,Residues of imidacloprid found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 19% of tested fields.,"Brown M, Williams R, Lee W, Johnson A",10.11864/pollinator.2017.4670,Environmental Science & Technology,2012,10
30000161,Sublethal Neonicotinoid Effects on Solitary Bees,Field trials in Midwest US show that integrated pest management reduces Apis mellifera mortality by 23% compared to conventional clothianidin application schedules.,"Jackson B, Thomas D",10.15673/pollinator.2023.6493,"Agriculture, Ecosystems & Environment",2013,4
30000162,Long-Term Trends in Pollinator Abundance and Pesticide Use,This study evaluates the impact of neonicotinoid exposure on Bombus impatiens colonies across Central Valley CA. Results indicate a 16% decline in colony health metrics over the study period.,"Taylor S, Wilson P",10.11882/pollinator.2022.4768,PNAS,2023,4
30000163,Pesticide Impact on Honeybee Colony Health,Field trials in Central Valley CA show that integrated pest management reduces Bombus impatiens mortality by 29% compared to conventional thiamethoxam application schedules.,"Anderson T, Martin F, Jackson B, Thomas D, Johnson A",10.19646/pollinator.2018.5158,Environmental Science & Technology,2015,6
30000164,Long-Term Trends in Pollinator Abundance and Pesticide Use,Field trials in Great Plains show that integrated pest management reduces Apis mellifera mortality by 48% compared to conventional imidacloprid application schedules.,"Martin F, Moore H",10.18176/pollinator.2018.5406,Ecology Letters,2024,1
30000165,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Bombus impatiens pollination networks. Mean bloom date advanced by 3 days per decade.","Lee W, Williams R, Martin F, Brown M, Johnson A",10.15493/pollinator.2015.8243,Environmental Science & Technology,2015,7
30000166,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Residues of neonicotinoid found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 23% of tested fields.,"Anderson T, Garcia L, Moore H, Jones K",10.16275/pollinator.2019.3796,Science of the Total Environment,2015,10
30000167,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,A meta-analysis of 95 studies spanning 4 years demonstrates that clothianidin negatively affects native bumblebee foraging behavior and navigation abilities.,"Brown M, Taylor S, Martin F, Thomas D",10.14642/pollinator.2022.1609,Journal of Applied Ecology,2020,1
30000168,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Urban gardens in Midwest US provide crucial refuge for Apis mellifera amidst surrounding agricultural monocultures. Species richness was 164x higher in garden plots.,"Thomas D, Johnson A, Martinez C, Anderson T",10.13372/pollinator.2014.6435,"Agriculture, Ecosystems & Environment",2011,1
30000169,Long-Term Trends in Pollinator Abundance and Pesticide Use,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Bombus terrestris pollination networks. Mean bloom date advanced by 10 days per decade.","Williams R, Smith J, Martinez C, Moore H, Taylor S",10.13432/pollinator.2010.2560,"Agriculture, Ecosystems & Environment",2015,11
30000170,Sublethal Neonicotinoid Effects on Solitary Bees,This study evaluates the impact of thiamethoxam exposure on native bumblebee colonies across Central Valley CA. Results indicate a 46% decline in colony health metrics over the study period.,"Wilson P, Garcia L, Jackson B",10.15979/pollinator.2021.6015,Nature Ecology & Evolution,2018,10
30000171,Long-Term Trends in Pollinator Abundance and Pesticide Use,Residues of thiamethoxam found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 35% of tested fields.,"Garcia L, Smith J, Thomas D",10.17761/pollinator.2017.4405,Journal of Applied Ecology,2017,3
30000172,Genetic Diversity of Pollinators in Fragmented Habitats,Residues of glyphosate found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 52% of tested fields.,"Brown M, Martinez C",10.14037/pollinator.2018.6335,PNAS,2022,12
30000173,Sublethal Neonicotinoid Effects on Solitary Bees,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 5 days per decade.","Jackson B, Jones K, Moore H, Anderson T, Brown M",10.13963/pollinator.2014.1285,Journal of Applied Ecology,2015,4
30000174,Urban Pollinator Conservation: A Garden Ecology Study,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 8 days per decade.","Lee W, Jones K, Thomas D",10.16179/pollinator.2020.6486,"Agriculture, Ecosystems & Environment",2020,3
30000175,Genetic Diversity of Pollinators in Fragmented Habitats,A meta-analysis of 364 studies spanning 13 years demonstrates that glyphosate negatively affects Bombus impatiens foraging behavior and navigation abilities.,"Anderson T, Taylor S",10.19931/pollinator.2017.4417,Ecology Letters,2022,7
30000176,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Field trials in Pacific Northwest show that integrated pest management reduces Megachile rotundata mortality by 28% compared to conventional organophosphate application schedules.,"Johnson A, Jackson B, Thomas D",10.11755/pollinator.2015.7085,PNAS,2015,12
30000177,Genetic Diversity of Pollinators in Fragmented Habitats,Residues of neonicotinoid found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 57% of tested fields.,"Wilson P, Williams R, Martin F, Lee W",10.19655/pollinator.2017.8782,Journal of Applied Ecology,2021,12
30000178,Long-Term Trends in Pollinator Abundance and Pesticide Use,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Bombus terrestris pollination networks. Mean bloom date advanced by 4 days per decade.","Taylor S, Johnson A",10.11298/pollinator.2010.1344,Journal of Applied Ecology,2023,2
30000179,Pesticide Impact on Honeybee Colony Health,This study evaluates the impact of clothianidin exposure on Bombus impatiens colonies across Midwest US. Results indicate a 20% decline in colony health metrics over the study period.,"Williams R, Smith J, Jones K",10.14383/pollinator.2015.8265,Environmental Science & Technology,2023,9
30000180,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,"Climate change shifts the phenology of flowering plants in Great Plains, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 8 days per decade.","Anderson T, Thomas D, Johnson A, Martinez C, Jackson B",10.15188/pollinator.2011.7327,Nature Ecology & Evolution,2017,5
30000181,Genetic Diversity of Pollinators in Fragmented Habitats,This study evaluates the impact of clothianidin exposure on Osmia lignaria colonies across Central Valley CA. Results indicate a 60% decline in colony health metrics over the study period.,"Martinez C, Moore H, Martin F, Brown M",10.12824/pollinator.2010.7844,Science of the Total Environment,2019,2
30000182,Integrated Pest Management Benefits for Pollinator Health,This study evaluates the impact of neonicotinoid exposure on Megachile rotundata colonies across Pacific Northwest. Results indicate a 55% decline in colony health metrics over the study period.,"Williams R, Martinez C",10.13630/pollinator.2019.9703,Journal of Applied Ecology,2021,12
30000183,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Long-term monitoring of Megachile rotundata populations in Pacific Northwest reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention.,"Wilson P, Jackson B",10.18097/pollinator.2013.4445,Science of the Total Environment,2015,8
30000184,Pesticide Impact on Honeybee Colony Health,Field trials in Midwest US show that integrated pest management reduces Apis mellifera mortality by 21% compared to conventional organophosphate application schedules.,"Johnson A, Jones K, Martinez C, Thomas D",10.19585/pollinator.2023.5258,Nature Ecology & Evolution,2023,9
30000185,Sublethal Neonicotinoid Effects on Solitary Bees,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 11 days per decade.","Moore H, Smith J, Jones K",10.11485/pollinator.2021.7006,PNAS,2010,5
30000186,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Urban gardens in Central Valley CA provide crucial refuge for Megachile rotundata amidst surrounding agricultural monocultures. Species richness was 440x higher in garden plots.,"Garcia L, Smith J, Thomas D, Taylor S, Martinez C",10.11781/pollinator.2012.3803,Nature Ecology & Evolution,2023,6
30000187,Long-Term Trends in Pollinator Abundance and Pesticide Use,Residues of imidacloprid found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 32% of tested fields.,"Martin F, Thomas D, Martinez C, Smith J",10.18505/pollinator.2020.1498,Journal of Applied Ecology,2013,1
30000188,Urban Pollinator Conservation: A Garden Ecology Study,Habitat fragmentation in Great Plains leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 404 sampling sites over 13 years.,"Johnson A, Garcia L",10.14958/pollinator.2020.2793,"Agriculture, Ecosystems & Environment",2012,10
30000189,Integrated Pest Management Benefits for Pollinator Health,"Climate change shifts the phenology of flowering plants in Great Plains, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 8 days per decade.","Jackson B, Thomas D, Martinez C",10.17313/pollinator.2020.9244,Science of the Total Environment,2019,10
30000190,Genetic Diversity of Pollinators in Fragmented Habitats,Urban gardens in Midwest US provide crucial refuge for Osmia lignaria amidst surrounding agricultural monocultures. Species richness was 273x higher in garden plots.,"Martinez C, Anderson T, Williams R, Brown M, Wilson P",10.14146/pollinator.2010.5857,Journal of Applied Ecology,2018,2
30000191,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,A meta-analysis of 309 studies spanning 13 years demonstrates that neonicotinoid negatively affects Osmia lignaria foraging behavior and navigation abilities.,"Martinez C, Brown M",10.13199/pollinator.2023.2610,Science of the Total Environment,2020,3
30000192,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Residues of glyphosate found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 54% of tested fields.,"Lee W, Anderson T, Wilson P, Martin F",10.19304/pollinator.2018.8635,Ecology Letters,2014,5
30000193,Pesticide Impact on Honeybee Colony Health,Long-term monitoring of Bombus impatiens populations in Southern US reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention.,"Martin F, Anderson T, Williams R, Jackson B",10.16987/pollinator.2010.7367,Environmental Science & Technology,2014,4
30000194,Pesticide Impact on Honeybee Colony Health,Field trials in Great Plains show that integrated pest management reduces Osmia lignaria mortality by 62% compared to conventional organophosphate application schedules.,"Martinez C, Jones K, Johnson A, Jackson B, Thomas D",10.15018/pollinator.2020.4243,Nature Ecology & Evolution,2020,12
30000195,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,"Climate change shifts the phenology of flowering plants in Southern US, disrupting native bumblebee pollination networks. Mean bloom date advanced by 10 days per decade.","Lee W, Smith J, Brown M, Thomas D, Martinez C",10.13028/pollinator.2016.6678,"Agriculture, Ecosystems & Environment",2020,5
30000196,Integrated Pest Management Benefits for Pollinator Health,Field trials in Eastern Seaboard show that integrated pest management reduces Osmia lignaria mortality by 8% compared to conventional neonicotinoid application schedules.,"Garcia L, Martinez C, Jackson B, Brown M",10.19587/pollinator.2017.8779,Nature Ecology & Evolution,2024,6
